Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
APOE,4,NM_000041,xm_015124241.1,nm_009696.4,nm_138828.3,xm_019804886.1,xm_012446509.1,xm_005219148.3,xm_002762227.2,xm_010987610.1,xm_005616460.2,xm_018062561.1,xm_003464570.3,xm_014795256.1,xm_012080466.1,xm_013508700.1,xm_007997155.1,xm_006871352.1,xm_004694178.2,xm_016977136.1,xm_004484038.2,xm_013032692.1,xm_004710559.1,xm_006901261.1,xm_008158369.1,xm_005614763.2,xm_016192449.1,xm_011289847.2,xm_008586008.1,xm_019014645.1,nm_001310296.1,xm_005338268.2,xm_004670291.1,xm_003406443.2,xm_005589554.2,xm_011735912.1,xm_011975137.1,xm_017671300.1,xm_005086320.2,xm_012761363.1,xm_005370311.2,xm_016212642.1,xm_007491572.1,xm_004767647.2,xm_008852001.2,xm_004091027.2,xm_004598038.1,xm_004644322.1,xm_004401003.2,xm_004271187.1,nm_001082643.1,xm_003799497.2,xm_012095075.1,xm_008970765.2,nm_001009007.1,xm_003918599.2,xm_002829380.3,xm_012653387.1,xm_011367971.1,xm_010377513.1,xm_016150199.1,xm_010351143.1,xm_004607829.1,nm_214308.1,xm_004388788.1,xm_006142065.2,
APP,4,NM_000484,xm_015133068.1,nm_001198823.1,xm_006248008.3,xm_002920062.3,xm_012474853.1,xm_005201137.2,xm_002761328.4,xm_010977390.1,nm_001006601.2,xm_018050523.1,xm_003467185.3,xm_004429513.2,xm_012029844.1,xm_005375592.2,xm_007966044.1,xm_006872468.1,xm_012730693.1,xm_007645315.2,xm_004468669.2,xm_013031029.1,xm_004713087.2,xm_006896028.1,xm_008145617.1,xm_003364172.3,xm_016186730.1,xm_006935943.2,xm_008588756.1,xm_004062633.2,xm_004842228.2,xm_005335401.2,xm_004654380.1,xm_010590339.1,xm_005548883.2,xm_011726335.1,xm_011998309.1,xm_017650809.1,xm_005073916.2,xm_012764451.1,xm_005345291.2,xm_016197633.1,xm_007493387.2,xm_013058822.1,xm_017801687.1,xm_003263807.3,xm_004588594.2,xm_004627696.1,xm_004413344.2,xm_004264476.1,nm_001195669.1,xm_012801526.1,xm_004002800.3,xm_008969774.2,xm_009451357.2,xm_017956495.1,nm_001133542.1,xm_012640140.1,xm_011358209.1,xm_010383436.1,xm_016121311.1,xm_010344896.1,xm_012935608.1,nm_214372.1,xm_004371383.1,xm_006157703.1,xm_019922563.1
ARC,3,NM_015193,xm_015146100.1,nm_018790.3,nm_019361.1,xm_019802123.1,xm_012468353.1,xm_005215201.3,xm_008983141.2,xm_011000071.1,,xm_018058075.1,xm_005005200.2,xm_004431033.2,xm_012050003.1,xm_005395731.1,xm_008001679.1,xm_006830733.1,xm_012722883.1,xm_007609501.1,xm_004484494.1,xm_013025175.1,xm_013007460.1,xm_006879257.1,xm_008159720.1,xm_014728117.1,xm_007535012.2,xm_011291491.2,xm_008593139.1,xm_019031907.1,xm_004837875.1,xm_005316120.1,xm_004661334.1,xm_010601717.1,xm_005564182.2,xm_011752425.1,xm_012000966.1,xm_017665907.1,xm_013124757.1,xm_012782628.2,xm_005354511.2,xm_016216427.1,xm_007488415.2,xm_004743646.2,xm_008851041.1,xm_012507388.1,xm_004580752.1,xm_004638920.1,xm_004405580.1,xm_004265289.1,xm_017341267.1,xm_003803278.2,xm_004023576.3,xm_003819486.2,xm_016959966.1,xm_003903212.2,xm_009244138.1,xm_012648015.1,xm_011374931.1,xm_010385465.1,xm_016139205.1,xm_003942078.2,xm_004618625.1,,xm_004387369.1,xm_006152145.1,xm_004323644.2
ART3,Alcohol,NM_001130016,xm_015138498.1,xm_006534713.3,xm_006250727.2,xm_019805411.1,xm_012447038.1,xm_005208077.3,xm_008993153.2,xm_010983083.1,xm_005639075.2,xm_018049596.1,xm_013141511.1,xm_004430850.2,xm_012040395.1,xm_005388169.2,xm_007998935.1,xm_006871577.1,xm_012724138.1,xm_007653169.2,xm_012530654.1,xm_013020093.1,xm_013004816.1,xm_006885306.1,xm_008143661.1,xm_005608699.2,xm_007519852.2,xm_006931052.2,xm_008567313.1,xm_004038849.1,xm_013073359.1,xm_013363748.1,xm_004664814.1,xm_010594178.1,xm_015450080.1,xm_011733692.1,xm_011966193.1,xm_017680909.1,xm_013111997.1,xm_012744246.2,xm_005359501.2,xm_016207511.1,xm_007495740.2,xm_004766252.2,xm_008843498.1,xm_003265770.3,xm_012930082.1,xm_004647432.2,xm_004406331.1,xm_004280187.1,xm_008267722.2,xm_012805316.1,xm_012180194.2,xm_008957699.1,nm_001280372.1,xm_009206915.2,nm_001132479.2,xm_012650972.1,xm_011360564.1,xm_010377100.1,xm_016156038.1,xm_010342622.1,xm_012934839.1,nm_001244205.1,xm_004383154.1,xm_006142957.1,xm_019932664.1
ASAH1,4,NM_001127505,xm_001098236.3,xm_017312536.1,nm_053407.3,xm_002923787.3,xm_012435133.1,xm_005225968.3,xm_017963727.1,xm_010995727.1,xm_005629957.1,xm_018042035.1,xm_003469151.3,xm_014786287.1,xm_012093683.1,xm_005412192.2,xm_007961776.1,xm_006834459.1,xm_004682354.2,xm_007624738.2,xm_004452067.2,xm_013026207.1,xm_013003837.1,xm_006893564.1,xm_008146261.1,xm_005606374.2,xm_016185242.1,xm_006930587.2,xm_008572379.1,xm_019032177.1,xm_004853068.2,xm_005329185.2,xm_004666393.1,xm_010592516.1,nm_001285344.1,xm_011710955.1,xm_011979635.1,xm_017659403.1,xm_005066649.2,xm_020282840.1,xm_005362553.1,xm_016208984.1,xm_007495604.2,xm_013048366.1,xm_008850854.2,xm_003256720.3,xm_004597817.2,xm_004637228.1,xm_004409535.2,xm_004277185.2,xm_008250904.2,xm_012810025.1,xm_015104571.1,xm_003823639.3,xm_009454849.2,xm_003902473.3,nm_001131302.1,xm_012662909.1,xm_011365239.1,xm_010354624.1,xm_016130066.1,xm_003935568.2,xm_004610335.1,xm_003134187.5,xm_004382781.1,xm_006149685.2,xm_019921345.1
ATP1A3,Cocaine,NM_001256213,nm_001266472.1,nm_001290469.1,xm_017588775.1,xm_019804556.1,xm_012461539.1,xm_015467550.1,xm_008988096.2,xm_010981454.1,xm_005616516.2,xm_018062471.1,xm_013146833.1,xm_014795111.1,xm_012086906.1,xm_005412401.2,xm_007996948.1,xm_006871382.1,xm_004694154.2,xm_003500284.3,xm_004455927.1,xm_013032661.1,xm_004716501.1,xm_006900928.1,xm_008160242.1,xm_014731888.1,xm_007532917.2,xm_019819474.1,xm_008567229.1,xm_004060817.2,xm_004873051.2,xm_013364171.1,xm_004671109.1,xm_010586403.1,xm_005589417.2,xm_011765383.1,xm_011970396.1,xm_017654606.1,xm_005076521.2,xm_012758469.2,xm_005361127.1,xm_016209177.1,xm_001379393.4,xm_013064128.1,xm_008846437.2,xm_012496699.1,xm_004597971.1,xm_004644354.1,xm_004408163.1,xm_004271226.1,xm_017340198.1,xm_003799462.1,xm_012190461.2,xm_008964959.2,xm_016934231.1,xm_003915607.3,nm_001131832.1,xm_012653347.1,xm_011382809.1,xm_010358994.1,xm_016129959.1,xm_010331110.1,xm_004620704.2,nm_001171753.1,xm_004388749.1,xm_014582526.1,xm_004319853.2
ATP5B,3,NM_001686,nm_001195494.1,nm_016774.3,nm_134364.1,xm_011220736.2,xm_012450503.1,nm_175796.3,xm_002755078.4,xm_010976838.1,xm_531639.5,xm_005680331.2,xm_013159086.1,xm_004429269.2,xm_012063409.1,xm_013520804.1,xm_008003700.1,xm_006859450.1,xm_004692623.2,xm_003506176.3,xm_004466145.2,xm_013021434.1,xm_004700546.2,xm_006897613.1,xm_008148658.1,nm_001195525.1,xm_007533325.2,xm_003988915.4,xm_008575490.1,xm_004053385.2,xm_004861278.1,xm_005335645.2,xm_012950226.1,xm_003405135.2,xm_005571255.2,xm_011728997.1,xm_011988503.1,xm_017651937.1,xm_013110899.1,xm_012762909.1,xm_005371207.1,xm_016224568.1,xm_001364032.4,xm_004773150.2,xm_008828389.2,xm_003252417.2,xm_004589680.2,xm_012515944.1,xm_004401691.1,xm_004274135.1,xm_002711084.3,xm_012805551.1,xm_004006572.2,xm_003824908.2,xm_009425096.2,xm_017946419.1,xm_009247928.1,xm_012650961.1,xm_011375642.1,xm_010377772.1,xm_016165702.1,xm_010350020.1,xm_004601617.1,xm_001929410.4,xm_004379912.1,xm_006165625.2,xm_004316125.2
ATP6V1B2,5,NM_001693,xm_001100869.3,nm_007509.3,nm_057213.2,xm_002929301.3,xm_012435265.1,nm_176671.3,xm_002756883.4,xm_010996364.1,xm_543263.5,xm_005683966.3,xm_003479342.3,xm_004442325.1,xm_012045879.1,xm_005373627.2,xm_007961814.1,xm_006859901.1,xm_004685430.2,xm_007640664.1,xm_004479964.1,xm_013025820.1,xm_004707573.1,xm_006884806.1,xm_008156342.1,xm_005607753.2,xm_007536221.2,xm_003984724.4,xm_008585087.1,xm_004046730.2,xm_004848257.2,xm_005329289.1,xm_004669690.1,xm_010592543.1,xm_005562725.1,xm_011742062.1,xm_011979628.1,xm_017641113.1,xm_005075202.2,xm_012785091.2,xm_005370884.2,xm_016210884.1,xm_001381922.4,xm_004763332.2,xm_008850193.1,xm_003265222.3,xm_004591389.2,xm_012514231.1,xm_004413864.1,xm_004270617.1,xm_002716870.3,xm_003793995.2,xm_004004217.3,xm_003823624.2,nm_001280322.1,xm_003902489.3,nm_001133201.1,xm_012662916.1,xm_011366693.1,xm_010376364.1,xm_016132465.1,xm_003935588.2,xm_004610080.2,xm_003483379.3,xm_004369229.2,xm_006156440.2,xm_019936309.1
ATP6V1E1,5,NM_001039366,xm_015149662.1,nm_007510.2,nm_198745.2,xm_002926726.3,xm_012454236.1,nm_174810.2,xm_009006369.2,xm_010993792.1,xm_005637384.2,xm_018048706.1,xm_003461760.3,xm_004438804.1,xm_012071817.1,xm_005395971.2,xm_007974808.1,xm_006862722.1,xm_004692809.2,xm_016964617.1,xm_004456761.2,xm_013023562.1,xm_004710284.1,xm_006891335.1,xm_008161033.1,xm_001489704.5,xm_007537443.2,xm_003988246.4,xm_008578218.1,xm_004062979.2,xm_004837601.2,xm_005340573.2,xm_004669135.1,xm_003410608.2,nm_001283521.1,xm_011739929.1,xm_011984636.1,xm_017665478.1,xm_005066046.2,xm_012747748.1,xm_005365146.2,xm_016213823.1,xm_003341986.3,xm_004773757.2,xm_008847906.2,xm_012508115.1,xm_012927941.1,xm_004638845.1,xm_004406896.2,xm_004286257.2,xm_002722538.3,xm_003795466.2,xm_004006972.2,xm_003828290.2,xm_016939648.1,xm_009186734.2,xm_009234084.1,xm_012651042.1,xm_011367789.1,xm_010383514.1,xm_016125743.1,xm_010330565.1,xm_004616704.1,xm_003126593.5,xm_004381218.1,xm_006158345.2,xm_019925855.1
ATXN1,Alcohol,NM_000332,xm_015135597.1,nm_001199305.1,nm_012726.2,xm_019803659.1,xm_012476527.1,xm_015469032.1,xm_008993929.2,xm_010980199.1,xm_014110567.1,xm_018038750.1,xm_003468751.3,xm_004432185.2,xm_012031375.1,xm_013503817.1,xm_007973617.1,xm_006861018.1,xm_004693284.2,xm_007645949.1,xm_004483454.2,xm_013030467.1,xm_004715293.2,xm_006888694.1,xm_008146093.1,nr_127900.1,xm_007539291.2,xm_019830207.1,xm_008569542.1,xm_019029698.1,xm_004847648.2,xm_005329138.2,xm_004667937.2,xm_010596200.1,xm_015449874.1,xm_011742599.1,xm_011967944.1,xm_017652481.1,xm_013110598.1,xm_012753498.2,xm_013349066.1,xm_016205295.1,xm_001376489.3,xm_013060786.1,xm_017801655.1,xm_003263540.3,xm_004593102.2,xm_004628338.2,xm_004406022.2,xm_012534383.1,xm_017350444.1,xm_012804250.1,xm_015102840.1,xm_014345231.1,xm_001170170.4,xm_017957613.1,xm_009241443.1,xm_012643271.1,xm_011362867.1,xm_010376383.1,xm_016119789.1,xm_003927421.2,xm_004600548.1,xm_001927854.5,xm_012557455.1,xm_006164606.2,xm_019944942.1
